Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/9/2015,Cat_3,Cat_10,NA,32,29,60,27,NA,NA,41,NA,27,63,46,53,43,NA,27,NA
1/9/2015,Cat_1,Cat_11,NA,28,NA,30,27,NA,NA,27,NA,NA,28,33,30,28,NA,31,NA
1/9/2015,Cat_1,Cat_2,NA,52170,463,22092,32070,NA,NA,11446,NA,17469,39315,121390,166831,67120,NA,29314,NA
1/9/2015,Cat_3,Cat_2,NA,7325,94,2763,5373,NA,NA,1602,NA,1707,7120,22190,22880,13711,NA,5863,NA
1/9/2015,Cat_1,Cat_3,NA,3375,58,2989,2191,NA,NA,714,NA,1424,1532,4719,6071,3172,NA,1220,NA
1/9/2015,Cat_3,Cat_3,NA,436,28,357,348,NA,NA,125,NA,191,233,561,897,412,NA,131,NA
1/9/2015,Cat_1,Cat_4,NA,10137,272,9041,5763,NA,NA,2446,NA,4235,6723,11890,14908,8087,NA,5788,NA
1/9/2015,Cat_3,Cat_4,NA,857,32,860,614,NA,NA,193,NA,219,598,1274,1402,810,NA,519,NA
1/9/2015,Cat_1,Cat_5,NA,62520,550,20828,40393,NA,NA,8396,NA,17415,45484,110492,143889,71647,NA,41252,NA
1/9/2015,Cat_3,Cat_5,NA,12537,132,4475,8486,NA,NA,2017,NA,2564,9379,21182,25333,13142,NA,6558,NA
1/9/2015,Cat_1,Cat_6,NA,30,NA,44,NA,NA,NA,31,NA,NA,NA,46,46,NA,NA,28,NA
1/9/2015,Cat_4,Cat_6,NA,10277,665,64080,54437,NA,NA,15508,NA,42495,46685,134242,195362,22984,NA,67968,NA
1/9/2015,Cat_1,Cat_7,NA,17104,176,19225,11103,NA,NA,4468,NA,3986,7288,17513,22410,11188,NA,5706,NA
1/9/2015,Cat_3,Cat_7,NA,1049,40,1107,1065,NA,NA,522,NA,314,608,1305,1761,990,NA,346,NA
1/9/2015,Cat_1,Cat_8,NA,122218,1094,40165,60242,NA,NA,12475,NA,32438,85759,222225,276439,125254,NA,119490,NA
1/9/2015,Cat_3,Cat_8,NA,17505,127,7851,14110,NA,NA,2163,NA,3451,14636,38170,48456,22367,NA,17421,NA
1/9/2015,Cat_1,Cat_9,NA,4880,56,3382,5020,NA,NA,837,NA,1338,4270,9742,12822,5725,NA,4558,NA
1/9/2015,Cat_3,Cat_9,NA,2344,44,644,3824,NA,NA,320,NA,1458,2030,3986,5425,3098,NA,1424,NA
1/10/2015,Cat_1,Cat_1,NA,4811,144,4007,4302,NA,NA,1988,NA,1007,3241,8449,9408,5514,NA,2131,NA
1/10/2015,Cat_3,Cat_1,NA,1168,53,881,1062,NA,NA,485,NA,271,602,1780,2370,1215,NA,395,NA
1/10/2015,Cat_1,Cat_10,NA,322,43,343,249,NA,NA,235,NA,70,258,612,631,337,NA,130,NA
1/10/2015,Cat_3,Cat_10,NA,54,27,42,66,NA,NA,41,NA,45,53,62,86,54,NA,30,NA
1/10/2015,Cat_1,Cat_11,NA,41,NA,42,29,NA,NA,32,NA,NA,41,43,54,43,NA,32,NA
1/10/2015,Cat_1,Cat_2,NA,46020,1264,16459,31956,NA,NA,10200,NA,12477,34401,117243,133233,62416,NA,28217,NA
1/10/2015,Cat_3,Cat_2,NA,12482,316,4405,8918,NA,NA,2368,NA,2669,11325,31935,33159,17890,NA,7260,NA
1/10/2015,Cat_1,Cat_3,NA,1582,84,1338,1589,NA,NA,356,NA,672,584,2290,3017,1572,NA,540,NA
1/10/2015,Cat_3,Cat_3,NA,367,27,262,393,NA,NA,132,NA,140,188,465,615,394,NA,127,NA
1/10/2015,Cat_1,Cat_4,NA,9265,375,9023,7147,NA,NA,2154,NA,2990,5564,14410,15823,8477,NA,6004,NA
1/10/2015,Cat_3,Cat_4,NA,999,56,1683,813,NA,NA,327,NA,283,778,1267,1698,806,NA,724,NA
1/10/2015,Cat_1,Cat_5,NA,54294,1290,23872,51296,NA,NA,8419,NA,13426,43057,104663,129433,78486,NA,37478,NA
1/10/2015,Cat_3,Cat_5,NA,16533,405,6529,14351,NA,NA,3044,NA,3090,13195,31777,42434,21926,NA,9789,NA
1/10/2015,Cat_1,Cat_6,NA,31,NA,32,NA,NA,NA,28,NA,NA,NA,27,29,NA,NA,33,NA
1/10/2015,Cat_4,Cat_6,NA,15303,1040,88255,85797,NA,NA,19030,NA,65765,61251,169003,235744,100212,NA,73029,NA
